seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
contig_23654	13683	No terminal repeats	18	11	0.9762	NA	0	5.4223	NA	NA
contig_9734	12780	No terminal repeats	23	11	0.9762	NA	1	0.7463	FATA_prgL	NA
contig_16730	3467	No terminal repeats	8	11	0.9762	NA	0	1.8438	NA	NA
contig_3803	2776	No terminal repeats	5	11	0.9762	NA	0	1.4078	NA	NA
contig_16955	4973	No terminal repeats	10	11	0.9762	NA	0	1.9648	NA	NA
contig_5902	3771	No terminal repeats	6	11	0.9761	NA	0	1.5508	NA	NA
contig_8786	4634	No terminal repeats	4	11	0.9761	NA	0	1.1986	NA	NA
contig_7067	5290	No terminal repeats	5	11	0.9761	NA	0	1.7410	NA	NA
contig_12364	7509	No terminal repeats	8	11	0.9761	NA	0	0.5424	NA	NA
contig_16753	7687	No terminal repeats	7	11	0.9761	NA	0	2.3973	NA	NA
contig_22299	5499	No terminal repeats	12	11	0.9760	NA	0	3.5328	NA	NA
contig_22809	5284	No terminal repeats	9	11	0.9759	NA	0	1.8647	NA	NA
contig_8838	5609	No terminal repeats	5	11	0.9759	NA	0	1.7410	NA	NA
contig_16968	4569	No terminal repeats	9	11	0.9759	NA	0	2.0376	NA	NA
contig_822	3051	No terminal repeats	6	11	0.9758	NA	0	1.4952	NA	NA
contig_13065	2832	No terminal repeats	5	11	0.9758	NA	0	0.7476	NA	NA
contig_4842	12890	No terminal repeats	10	11	0.9758	NA	0	1.9882	NA	NA
contig_23884	2963	No terminal repeats	6	11	0.9758	NA	0	1.0121	NA	NA
contig_11224	7753	No terminal repeats	12	11	0.9758	NA	0	1.9702	NA	NA
contig_23004	6081	No terminal repeats	12	11	0.9757	NA	0	4.5034	NA	NA
contig_22209	3959	No terminal repeats	6	11	0.9757	NA	0	1.2173	NA	NA
contig_23784	7422	No terminal repeats	12	11	0.9756	NA	0	4.0083	NA	NA
contig_25002	9454	No terminal repeats	17	11	0.9755	NA	0	3.3894	MOBT;MOBT;MOBT	NA
contig_17433	11430	No terminal repeats	10	11	0.9755	NA	0	1.3512	NA	NA
contig_595	3415	No terminal repeats	6	11	0.9755	NA	0	1.2173	NA	NA
contig_21852	3571	No terminal repeats	8	11	0.9755	NA	2	3.1658	NA	NA
contig_872	3642	No terminal repeats	8	11	0.9754	NA	0	1.9648	NA	NA
contig_21807	6114	No terminal repeats	11	11	0.9754	NA	0	2.7124	NA	NA
contig_4595	5361	No terminal repeats	8	11	0.9754	NA	0	1.7114	NA	NA
contig_7688	7644	No terminal repeats	15	11	0.9754	NA	0	4.2255	NA	NA
contig_14724	5536	No terminal repeats	5	11	0.9754	NA	0	1.8549	NA	NA
contig_21684	3819	No terminal repeats	7	11	0.9752	NA	0	1.2173	NA	NA
contig_906	3205	No terminal repeats	7	11	0.9752	NA	0	1.9648	NA	NA
contig_9882	13130	No terminal repeats	25	11	0.9752	NA	0	3.3853	NA	NA
contig_22749	5511	No terminal repeats	9	11	0.9751	NA	0	1.9648	NA	NA
contig_17945	7768	No terminal repeats	10	11	0.9751	NA	0	1.0975	NA	NA
contig_826	3512	No terminal repeats	7	11	0.9751	NA	0	1.2173	NA	NA
contig_13877	7299	No terminal repeats	9	11	0.9751	NA	0	2.9991	NA	NA
contig_8366	8175	No terminal repeats	8	11	0.9750	NA	0	1.1336	NA	NA
contig_26112	30656	No terminal repeats	43	11	0.9750	NA	2	6.0892	MOBP2	NA
contig_933	4905	No terminal repeats	11	11	0.9750	NA	0	1.7597	NA	NA
contig_12531	5332	No terminal repeats	4	11	0.9750	NA	0	1.7410	NA	NA
contig_23097	2912	No terminal repeats	6	11	0.9750	NA	0	0.7476	NA	NA
contig_7761	4877	No terminal repeats	6	11	0.9749	NA	0	1.1546	NA	NA
contig_22380	3806	No terminal repeats	7	11	0.9749	NA	0	1.2173	NA	NA
contig_20980	3796	No terminal repeats	7	11	0.9749	NA	0	1.2173	NA	NA
contig_972	3345	No terminal repeats	4	11	0.9749	NA	0	0.5454	NA	NA
contig_14049	6049	No terminal repeats	13	11	0.9748	NA	0	0.7281	NA	NA
contig_655	2706	No terminal repeats	3	11	0.9748	NA	0	1.9648	NA	NA
contig_24053	7705	No terminal repeats	6	11	0.9748	NA	0	1.0826	NA	NA
contig_1787	7275	No terminal repeats	11	11	0.9748	NA	0	1.4335	NA	NA
contig_5496	4291	No terminal repeats	6	11	0.9747	NA	0	1.3745	NA	NA
contig_16542	6381	No terminal repeats	11	11	0.9747	NA	0	3.3276	NA	NA
contig_6406	2597	No terminal repeats	4	11	0.9747	NA	0	0.4697	NA	NA
contig_10327	24066	No terminal repeats	31	11	0.9747	NA	0	2.2116	NA	NA
contig_8637	11627	No terminal repeats	16	11	0.9747	NA	0	2.1972	NA	NA
contig_8420	2711	No terminal repeats	5	11	0.9747	NA	0	1.5606	NA	NA
contig_22428	2699	No terminal repeats	5	11	0.9746	NA	0	0.7476	NA	NA
contig_5010	2819	No terminal repeats	4	11	0.9746	NA	0	0.7476	NA	NA
contig_5990	2348	No terminal repeats	4	11	0.9746	NA	1	1.7183	B_traI	NA
contig_18809	3950	No terminal repeats	5	11	0.9746	NA	0	1.1986	NA	NA
contig_14653	8836	No terminal repeats	10	11	0.9745	NA	0	4.8262	NA	NA
contig_15704	3274	No terminal repeats	8	11	0.9745	NA	0	1.4952	NA	NA
contig_12250	5854	No terminal repeats	7	11	0.9744	NA	0	0.8658	NA	NA
contig_7891	10656	No terminal repeats	15	11	0.9743	NA	1	6.4892	NA	NA
contig_23088	2699	No terminal repeats	4	11	0.9743	NA	1	1.0535	MOBV	NA
contig_3466	6125	No terminal repeats	4	11	0.9742	NA	0	1.7410	NA	NA
contig_3152	5273	No terminal repeats	5	11	0.9742	NA	0	1.7183	NA	NA
contig_8213	3393	No terminal repeats	7	11	0.9741	NA	0	1.6799	NA	NA
contig_3428	5197	No terminal repeats	5	11	0.9741	NA	0	1.7410	NA	NA
contig_16136	3623	No terminal repeats	10	11	0.9740	NA	0	2.1650	NA	NA
contig_12166	6672	No terminal repeats	3	11	0.9740	NA	0	1.5743	NA	NA
contig_22880	7219	No terminal repeats	12	11	0.9740	NA	0	1.4663	NA	NA
contig_12482	3363	No terminal repeats	7	11	0.9740	NA	0	1.2173	NA	NA
contig_10023	6638	No terminal repeats	7	11	0.9740	NA	0	2.3973	NA	NA
contig_18542	5684	No terminal repeats	5	11	0.9740	NA	0	1.8549	NA	NA
contig_25815	21528	No terminal repeats	25	4	0.9740	NA	0	0.6817	NA	NA
contig_23657	3896	No terminal repeats	6	11	0.9739	NA	0	1.2173	NA	NA
contig_9558	13903	No terminal repeats	16	11	0.9739	NA	0	1.8679	NA	NA
contig_3083	36379	No terminal repeats	51	11	0.9739	NA	1	3.3345	FATA_prgL	NA
contig_630	3682	No terminal repeats	7	11	0.9739	NA	0	1.9648	NA	NA
contig_9045	42919	No terminal repeats	53	11	0.9738	NA	0	3.7983	FATA_prgL	NA
contig_18938	27840	No terminal repeats	44	11	0.9738	NA	0	3.2245	NA	NA
contig_19571	2708	No terminal repeats	5	11	0.9737	NA	0	0.7476	NA	NA
contig_895	2948	No terminal repeats	6	11	0.9737	NA	0	1.2173	NA	NA
contig_3465	25350	No terminal repeats	23	11	0.9737	NA	0	4.7200	NA	NA
contig_910	2684	No terminal repeats	6	11	0.9737	NA	0	0.7476	NA	NA
contig_22923	5712	No terminal repeats	12	11	0.9737	NA	0	2.7852	NA	NA
contig_2457	3702	No terminal repeats	5	11	0.9737	NA	0	1.1977	NA	NA
contig_6655	8597	No terminal repeats	7	11	0.9735	NA	0	2.3973	NA	NA
contig_20561	5830	No terminal repeats	9	11	0.9735	NA	0	1.7597	NA	NA
contig_10074	7922	No terminal repeats	12	11	0.9735	NA	0	1.5384	B_traF	NA
contig_14604	7181	No terminal repeats	13	11	0.9735	NA	0	3.2548	NA	NA
contig_720	3463	No terminal repeats	7	11	0.9734	NA	0	2.0376	NA	NA
contig_17088	4773	No terminal repeats	4	11	0.9734	NA	0	1.7410	NA	NA
contig_23345	5103	No terminal repeats	8	11	0.9733	NA	0	1.7183	NA	NA
contig_23892	2974	No terminal repeats	7	11	0.9732	NA	0	0.7476	NA	NA
contig_2422	3434	No terminal repeats	8	11	0.9732	NA	0	0.3964	NA	NA
contig_21382	42246	No terminal repeats	86	11	0.9731	NA	2	1.3196	MOBQ;T_virB10	NA
contig_23890	3560	No terminal repeats	7	11	0.9730	NA	0	1.2173	NA	NA
contig_8834	3148	No terminal repeats	4	11	0.9729	NA	0	1.1986	NA	NA
contig_21023	4517	No terminal repeats	9	11	0.9729	NA	0	1.2173	NA	NA
contig_10780	14153	No terminal repeats	28	11	0.9729	NA	2	8.2638	MOBP2	NA
contig_648	6497	No terminal repeats	11	11	0.9729	NA	0	1.9648	NA	NA
contig_753	3467	No terminal repeats	7	11	0.9728	NA	0	1.2900	NA	NA
contig_870	2582	No terminal repeats	6	11	0.9728	NA	0	1.2900	NA	NA
contig_24944	16495	No terminal repeats	31	11	0.9728	NA	0	0.0501	NA	NA
contig_14123	6154	No terminal repeats	11	11	0.9728	NA	0	1.4391	NA	NA
contig_12129	7612	No terminal repeats	11	11	0.9728	NA	0	1.8948	NA	NA
contig_8837	3038	No terminal repeats	4	11	0.9728	NA	0	1.0848	NA	NA
contig_3436	2754	No terminal repeats	4	11	0.9726	NA	0	1.1986	NA	NA
contig_21635	9411	No terminal repeats	17	11	0.9726	NA	0	7.5211	NA	NA
contig_12796	13911	No terminal repeats	23	11	0.9725	NA	0	4.0158	NA	NA
contig_882	3021	No terminal repeats	5	11	0.9725	NA	0	1.2173	NA	NA
contig_8131	5180	No terminal repeats	9	11	0.9724	NA	0	0.7723	NA	NA
contig_12097	6473	No terminal repeats	7	11	0.9723	NA	0	1.8549	NA	NA
contig_23902	2609	No terminal repeats	3	11	0.9723	NA	0	0.7476	NA	NA
contig_20597	4449	No terminal repeats	9	11	0.9723	NA	0	1.9648	NA	NA
contig_16588	4804	No terminal repeats	3	11	0.9723	NA	0	1.1986	NA	NA
contig_14074	4586	No terminal repeats	3	11	0.9723	NA	0	1.1986	NA	NA
contig_13649	17583	No terminal repeats	28	11	0.9722	NA	3	1.1359	MOBP1	NA
contig_2500	12754	No terminal repeats	19	11	0.9722	NA	1	1.3850	B_traN	NA
contig_11496	14932	No terminal repeats	25	11	0.9720	NA	0	2.2587	NA	NF033103
contig_326	4755	No terminal repeats	10	11	0.9720	NA	0	2.2373	NA	NA
contig_2087	3866	No terminal repeats	5	11	0.9720	NA	0	1.5374	NA	NA
contig_3471	7169	No terminal repeats	8	11	0.9720	NA	0	2.9397	NA	NA
contig_11690	2953	No terminal repeats	7	11	0.9719	NA	0	0.5424	NA	NA
contig_4047	4275	No terminal repeats	4	11	0.9719	NA	0	1.1986	NA	NA
contig_3340	8338	No terminal repeats	7	11	0.9719	NA	0	2.3973	NA	NA
contig_11599	4232	No terminal repeats	6	11	0.9718	NA	0	2.8341	NA	NA
contig_12773	6420	No terminal repeats	10	11	0.9718	NA	0	2.5800	NA	NA
contig_12761	75806	No terminal repeats	106	11	0.9717	NA	1	6.9562	MOBP2	NA
contig_17437	4519	No terminal repeats	7	11	0.9717	NA	0	1.7597	NA	NA
contig_6651	6247	No terminal repeats	10	11	0.9717	NA	1	1.5915	NA	NA
contig_7351	3380	No terminal repeats	6	11	0.9716	NA	0	1.9648	NA	NA
contig_3438	4366	No terminal repeats	5	11	0.9716	NA	0	1.8549	NA	NA
contig_2490	11958	No terminal repeats	17	11	0.9716	NA	1	2.6129	B_traN	NA
contig_20067	5412	No terminal repeats	9	11	0.9716	NA	0	1.2173	NA	NA
contig_893	2770	No terminal repeats	5	11	0.9716	NA	0	1.2173	NA	NA
contig_13632	7041	No terminal repeats	6	11	0.9716	NA	0	0.7623	NA	NA
contig_12534	4080	No terminal repeats	3	11	0.9716	NA	0	1.1986	NA	NA
contig_19837	6090	No terminal repeats	11	11	0.9715	NA	0	2.4345	NA	NA
contig_937	3082	No terminal repeats	6	11	0.9715	NA	0	0.7476	NA	NA
contig_3421	5005	No terminal repeats	5	11	0.9715	NA	0	1.7410	NA	NA
contig_8419	64129	No terminal repeats	105	11	0.9714	NA	2	6.4125	MOBP2	NA
contig_5542	4161	No terminal repeats	5	11	0.9713	NA	0	1.3878	NA	NA
contig_912	3079	No terminal repeats	5	11	0.9713	NA	0	0.7476	NA	NA
contig_7900	31030	No terminal repeats	48	11	0.9712	NA	0	3.2853	NA	NA
contig_5189	7258	No terminal repeats	7	11	0.9711	NA	0	2.2834	NA	NA
contig_11984	13749	No terminal repeats	23	11	0.9711	NA	1	0.4502	MOBQ	NA
contig_3563	16178	No terminal repeats	26	11	0.9711	NA	0	0.1677	MOBT	NA
contig_19274	5237	No terminal repeats	11	11	0.9709	NA	0	1.6349	NA	NA
contig_5190	7700	No terminal repeats	7	11	0.9709	NA	0	1.7410	NA	NA
contig_20137	3777	No terminal repeats	3	11	0.9708	NA	1	1.7183	NA	NA
contig_23091	3742	No terminal repeats	8	11	0.9708	NA	0	1.9648	NA	NA
contig_5853	4330	No terminal repeats	8	11	0.9708	NA	0	2.0631	NA	NA
contig_22053	4080	No terminal repeats	4	11	0.9707	NA	0	2.1669	NA	NA
contig_9496	12794	No terminal repeats	12	11	0.9707	NA	0	0.3334	NA	NA
contig_6153	4752	No terminal repeats	4	11	0.9707	NA	0	1.1986	NA	NA
contig_16258	6970	No terminal repeats	7	11	0.9706	NA	0	2.5148	NA	NA
contig_7069	7064	No terminal repeats	6	11	0.9706	NA	0	2.3973	NA	NA
contig_8831	5916	No terminal repeats	5	11	0.9706	NA	0	1.8549	NA	NA
contig_3427	4698	DTR	5	11	0.9706	NA	0	1.1986	NA	NA
contig_699	3409	No terminal repeats	8	11	0.9705	NA	0	1.4952	NA	NA
contig_20843	4622	No terminal repeats	9	11	0.9705	NA	0	1.7597	NA	NA
contig_4705	2873	No terminal repeats	9	11	0.9705	NA	0	1.2563	NA	NA
contig_9166	2930	No terminal repeats	3	11	0.9704	NA	0	0.5424	NA	NA
contig_6782	3238	No terminal repeats	6	11	0.9704	NA	0	1.7054	NA	NA
contig_21942	2757	No terminal repeats	5	11	0.9703	NA	0	0.7476	NA	NA
contig_301	10391	No terminal repeats	9	11	0.9703	NA	0	5.2424	NA	NA
contig_14874	16231	No terminal repeats	29	11	0.9703	NA	0	2.3938	NA	NA
contig_9577	8569	No terminal repeats	9	11	0.9702	NA	0	2.3973	NA	NA
contig_9380	6780	No terminal repeats	9	11	0.9702	NA	0	3.0535	NA	NA
contig_4098	11466	No terminal repeats	9	11	0.9702	NA	0	5.7893	NA	NA
contig_22124	3133	No terminal repeats	3	11	0.9701	NA	0	1.6364	NA	NA
contig_3485	5664	No terminal repeats	5	11	0.9701	NA	0	1.8549	NA	NA
contig_817	2809	No terminal repeats	6	11	0.9700	NA	0	1.2900	NA	NA
contig_714	2532	No terminal repeats	6	11	0.9700	NA	0	0.5424	NA	NA
contig_4350	15642	No terminal repeats	21	11	0.9700	NA	0	4.7015	NA	NA
contig_2284	66659	No terminal repeats	72	11	0.9699	NA	0	2.7180	NA	NA
contig_7928	9523	No terminal repeats	6	11	0.9698	NA	0	1.4807	NA	NA
contig_20295	6221	No terminal repeats	4	11	0.9698	NA	0	1.7410	NA	NA
contig_8080	4000	No terminal repeats	3	11	0.9698	NA	0	1.1986	NA	NA
contig_3457	3332	No terminal repeats	3	11	0.9698	NA	0	1.1986	NA	NA
contig_22882	2741	No terminal repeats	5	11	0.9697	NA	0	0.7476	NA	NA
contig_7293	9813	No terminal repeats	3	11	0.9697	NA	0	1.7183	NA	NA
contig_9945	8406	No terminal repeats	10	11	0.9697	NA	1	0.4331	MOBP1	NA
contig_7909	2619	No terminal repeats	6	11	0.9696	NA	1	1.7649	NA	NA
contig_4028	16484	No terminal repeats	19	11	0.9696	NA	1	0.0112	NA	NA
contig_13812	8675	No terminal repeats	14	11	0.9696	NA	0	1.8797	NA	NA
contig_14738	8247	No terminal repeats	17	11	0.9696	NA	1	1.0961	NA	NA
contig_14768	3993	No terminal repeats	8	11	0.9696	NA	0	1.7597	NA	NA
contig_25478	21370	No terminal repeats	27	11	0.9695	NA	2	3.9575	MOBT;FA_orf13;FA_orf17b;FA_orf15	NA
contig_3441	7842	No terminal repeats	9	11	0.9694	NA	0	2.3973	NA	NA
contig_97	4690	No terminal repeats	5	11	0.9694	NA	0	0.6562	NA	NA
contig_22765	3161	No terminal repeats	6	11	0.9694	NA	0	0.7476	NA	NA
contig_98	2828	No terminal repeats	3	11	0.9693	NA	0	0.6562	NA	NA
contig_847	3089	No terminal repeats	7	11	0.9693	NA	0	1.4952	NA	NA
contig_2796	50955	No terminal repeats	64	11	0.9693	NA	2	6.5588	FATA_prgL;FATA_cd411	NA
contig_16982	28460	No terminal repeats	44	11	0.9693	NA	1	12.3533	FATA_prgL	NA
contig_18473	3049	No terminal repeats	5	11	0.9693	NA	1	1.0535	MOBV	NA
contig_25444	10378	No terminal repeats	15	11	0.9692	NA	0	1.3125	NA	NA
contig_21077	5672	ITR	10	11	0.9692	NA	0	3.5328	NA	NA
contig_22989	8213	No terminal repeats	14	11	0.9692	NA	1	1.0786	NA	NA
contig_5146	6247	No terminal repeats	6	11	0.9692	NA	0	1.7410	NA	NA
contig_5151	5924	No terminal repeats	6	11	0.9690	NA	0	1.8549	NA	NA
contig_3031	9386	No terminal repeats	8	11	0.9690	NA	0	2.3973	NA	NA
contig_3378	6627	No terminal repeats	5	11	0.9689	NA	0	1.7410	NA	NA
contig_10783	6483	No terminal repeats	4	11	0.9689	NA	0	0.5424	NA	NA
contig_5137	3939	No terminal repeats	3	11	0.9688	NA	0	1.1986	NA	NA
contig_3496	4092	No terminal repeats	4	11	0.9688	NA	0	1.7410	NA	NA
contig_3140	19959	No terminal repeats	16	11	0.9687	NA	0	1.1567	NA	NA
contig_6801	5768	No terminal repeats	7	11	0.9687	NA	0	2.3836	NA	NA
contig_11450	4633	No terminal repeats	10	11	0.9686	NA	0	1.2173	NA	NA
contig_3415	3082	No terminal repeats	3	11	0.9686	NA	0	1.1986	NA	NA
contig_2168	12693	No terminal repeats	19	11	0.9686	NA	0	1.8425	NA	NA
contig_5134	6625	No terminal repeats	8	11	0.9686	NA	0	2.3973	NA	NA
contig_186	46650	No terminal repeats	56	11	0.9685	NA	0	1.5821	NA	NF000402
contig_10820	3872	No terminal repeats	4	11	0.9685	NA	0	1.1986	NA	NA
contig_20646	8505	No terminal repeats	7	11	0.9685	NA	0	1.8549	NA	NA
contig_13823	4466	No terminal repeats	3	11	0.9685	NA	0	2.6815	NA	NA
contig_18862	6441	No terminal repeats	7	11	0.9685	NA	0	2.9397	NA	NA
contig_883	2621	No terminal repeats	5	11	0.9685	NA	0	0.4697	NA	NA
contig_3406	11734	No terminal repeats	11	11	0.9684	NA	0	3.5959	NA	NA
contig_20748	9513	No terminal repeats	9	11	0.9684	NA	0	2.3973	NA	NA
contig_22876	2750	No terminal repeats	5	11	0.9683	NA	0	0.7476	NA	NA
contig_604	2858	No terminal repeats	5	11	0.9683	NA	0	0.4697	NA	NA
contig_15812	3489	No terminal repeats	10	11	0.9682	NA	0	4.4307	NA	NA
contig_12901	6606	No terminal repeats	6	11	0.9682	NA	0	1.8549	NA	NA
contig_20488	3115	No terminal repeats	6	11	0.9682	NA	0	0.7476	NA	NA
contig_11167	31946	No terminal repeats	42	11	0.9682	NA	0	1.7235	NA	NA
contig_20509	5126	No terminal repeats	5	11	0.9682	NA	0	0.6847	NA	NA
contig_2304	4882	No terminal repeats	5	11	0.9681	NA	0	1.8549	NA	NA
contig_710	4739	No terminal repeats	8	11	0.9681	NA	0	2.0376	NA	NA
contig_17411	6525	No terminal repeats	5	11	0.9680	NA	0	1.7183	NA	NA
contig_3413	3103	No terminal repeats	4	11	0.9680	NA	0	1.1986	NA	NA
contig_17107	4805	No terminal repeats	4	11	0.9680	NA	0	1.7183	NA	NA
contig_25299	2530	No terminal repeats	5	11	0.9679	NA	0	0.5482	MOBT	NA
contig_9749	73839	No terminal repeats	99	11	0.9678	NA	0	4.4923	NA	NA
contig_13271	6637	No terminal repeats	10	11	0.9678	NA	0	2.5897	NA	NA
contig_7102	14114	No terminal repeats	25	11	0.9678	NA	0	0.7077	NA	NA
contig_18096	6131	No terminal repeats	12	11	0.9677	NA	0	1.2763	NA	NA
contig_21551	6388	No terminal repeats	7	11	0.9677	NA	0	2.3973	NA	NA
contig_5152	7775	No terminal repeats	7	11	0.9677	NA	0	3.5959	NA	NA
contig_5607	4073	No terminal repeats	8	11	0.9676	NA	0	1.9648	NA	NA
contig_6222	7631	No terminal repeats	11	11	0.9676	NA	0	0.1010	NA	NA
contig_9878	19358	No terminal repeats	35	11	0.9676	NA	0	2.8918	NA	NA
contig_3972	5023	No terminal repeats	6	11	0.9676	NA	0	2.0914	NA	NA
contig_16152	5481	No terminal repeats	13	11	0.9675	NA	0	1.9648	NA	NA
contig_24794	26763	No terminal repeats	59	11	0.9675	NA	0	10.7187	FATA_prgL;FATA_prgIc	NA
contig_3129	17166	No terminal repeats	25	11	0.9674	NA	0	2.5784	NA	NA
contig_20373	6312	No terminal repeats	7	11	0.9674	NA	0	1.7410	NA	NA
contig_24882	11968	No terminal repeats	15	11	0.9674	NA	0	1.7194	NA	NA
contig_4037	23106	No terminal repeats	24	11	0.9673	NA	0	0.0001	NA	NA
contig_14490	4445	No terminal repeats	9	11	0.9672	NA	0	1.7597	NA	NA
contig_12792	5940	No terminal repeats	9	11	0.9672	NA	0	1.6585	NA	NA
contig_3414	5486	No terminal repeats	4	11	0.9672	NA	0	1.1986	NA	NA
contig_19086	10500	No terminal repeats	15	11	0.9672	NA	0	3.5375	NA	NA
contig_20626	3237	No terminal repeats	2	11	0.9671	NA	0	0.6562	NA	NA
contig_678	2957	No terminal repeats	6	11	0.9671	NA	0	0.4697	NA	NA
contig_748	2585	No terminal repeats	4	11	0.9670	NA	0	0.7476	NA	NA
contig_10075	8670	No terminal repeats	13	11	0.9668	NA	0	0.9506	B_traF	NA
contig_3488	5071	No terminal repeats	5	11	0.9668	NA	0	1.7410	NA	NA
contig_24057	11066	No terminal repeats	14	11	0.9668	NA	1	1.3850	B_traN	NA
contig_5129	4540	No terminal repeats	7	11	0.9667	NA	0	1.5316	NA	NA
contig_20631	4607	No terminal repeats	3	11	0.9666	NA	0	1.1986	NA	NA
contig_23417	7811	No terminal repeats	6	11	0.9666	NA	0	2.6173	NA	NA
contig_22305	3116	No terminal repeats	7	11	0.9666	NA	0	0.7476	NA	NA
contig_1546	5489	No terminal repeats	2	11	0.9666	NA	0	1.0638	NA	NA
contig_9168	11725	No terminal repeats	13	11	0.9665	NA	0	1.7410	NA	NA
contig_24881	15056	No terminal repeats	20	11	0.9665	NA	0	0.9038	NA	NA
contig_4794	12727	No terminal repeats	12	11	0.9664	NA	0	1.5374	NA	NA
contig_3467	4041	No terminal repeats	5	11	0.9664	NA	0	1.8549	NA	NA
contig_18682	3882	No terminal repeats	5	11	0.9663	NA	0	1.7183	NA	NA
contig_6375	4006	No terminal repeats	8	11	0.9663	NA	0	3.0083	NA	NA
contig_3542	657	No terminal repeats	2	11	0.9662	NA	1	1.7183	FA_orf13	NA
contig_16752	7322	No terminal repeats	7	11	0.9661	NA	0	2.3973	NA	NA
contig_18505	4101	No terminal repeats	5	11	0.9661	NA	0	1.5844	NA	NA
contig_764	2759	No terminal repeats	5	11	0.9661	NA	0	0.4697	NA	NA
contig_21362	2512	No terminal repeats	2	11	0.9660	NA	0	1.5601	NA	NA
contig_8207	4950	No terminal repeats	5	11	0.9659	NA	0	2.0096	NA	NA
contig_3518	4000	No terminal repeats	4	4	0.9657	NA	0	0.5424	NA	NA
contig_5147	6295	No terminal repeats	4	11	0.9656	NA	0	1.7410	NA	NA
contig_15887	10255	No terminal repeats	17	11	0.9656	NA	0	1.3774	NA	NA
contig_22476	6093	No terminal repeats	15	11	0.9656	NA	0	2.7124	NA	NA
contig_653	2573	No terminal repeats	5	11	0.9656	NA	0	0.7476	NA	NA
contig_4535	2501	No terminal repeats	5	11	0.9653	NA	0	0.5424	NA	NA
contig_8839	4398	No terminal repeats	4	11	0.9652	NA	0	1.1986	NA	NA
contig_21251	11743	No terminal repeats	17	11	0.9652	NA	2	4.0711	FA_orf13;FA_orf17b	NA
contig_24848	11478	No terminal repeats	10	11	0.9652	NA	0	1.7171	MOBV;MOBV	NA
contig_13681	4887	No terminal repeats	5	11	0.9652	NA	0	0.9553	NA	NA
contig_12581	5212	No terminal repeats	5	11	0.9650	NA	0	1.8549	NA	NA
contig_15794	6680	No terminal repeats	9	11	0.9650	NA	0	0.3964	NA	NA
contig_23656	10941	No terminal repeats	17	11	0.9650	NA	0	3.6744	NA	NA
contig_672	2672	No terminal repeats	7	11	0.9649	NA	0	1.2173	NA	NA
contig_3158	3924	No terminal repeats	7	11	0.9649	NA	0	0.2131	NA	NA
contig_11227	17902	No terminal repeats	21	11	0.9648	NA	2	4.7117	MOBP1;B_traF;B_traI	NA
contig_742	2935	No terminal repeats	6	11	0.9648	NA	0	0.7476	NA	NA
contig_18758	31448	No terminal repeats	27	11	0.9647	NA	0	1.0025	NA	NA
contig_4818	8555	No terminal repeats	14	11	0.9647	NA	0	1.1997	NA	NA
contig_15637	5508	No terminal repeats	10	11	0.9646	NA	0	1.7597	NA	NA
contig_13746	12445	No terminal repeats	24	11	0.9646	NA	0	3.9248	NA	NA
contig_718	3268	No terminal repeats	6	11	0.9644	NA	0	1.9648	NA	NA
contig_12026	10639	No terminal repeats	15	11	0.9643	NA	0	2.5537	NA	NA
contig_19135	14173	No terminal repeats	22	11	0.9643	NA	1	0.9975	NA	NA
contig_4613	6251	No terminal repeats	8	11	0.9641	NA	0	3.3598	NA	NA
contig_24528	6910	No terminal repeats	7	11	0.9640	NA	0	1.6924	NA	NA
contig_3042	3237	No terminal repeats	7	11	0.9640	NA	0	1.2173	NA	NA
contig_9167	8535	No terminal repeats	8	11	0.9639	NA	0	1.7410	NA	NA
contig_8278	8618	No terminal repeats	9	11	0.9638	NA	0	2.3973	NA	NA
contig_17501	13106	No terminal repeats	24	11	0.9638	NA	2	3.7581	NA	NA
contig_3032	5316	No terminal repeats	6	11	0.9637	NA	0	1.7410	NA	NA
contig_20420	3026	No terminal repeats	4	11	0.9637	NA	0	1.7183	NA	NA
contig_22909	7188	No terminal repeats	13	11	0.9636	NA	0	4.0752	NA	NA
contig_20751	8681	No terminal repeats	7	11	0.9636	NA	0	2.3973	NA	NA
contig_22595	3586	No terminal repeats	8	11	0.9635	NA	0	5.1548	NA	NA
contig_16751	7032	No terminal repeats	7	11	0.9635	NA	0	2.3973	NA	NA
contig_14312	5326	No terminal repeats	4	11	0.9635	NA	0	1.7410	NA	NA
contig_9648	3720	No terminal repeats	6	11	0.9634	NA	0	2.5198	NA	NA
contig_3477	4052	No terminal repeats	3	11	0.9634	NA	0	1.1986	NA	NA
contig_25896	2819	No terminal repeats	7	11	0.9634	NA	0	0.5482	MOBT	NA
contig_3390	6826	No terminal repeats	6	11	0.9633	NA	0	1.7410	NA	NA
contig_3386	5461	No terminal repeats	6	11	0.9632	NA	0	1.8549	NA	NA
contig_14693	14135	No terminal repeats	20	11	0.9631	NA	0	1.3759	NA	NA
contig_3470	2969	No terminal repeats	3	11	0.9630	NA	0	0.5424	NA	NA
contig_11253	8211	No terminal repeats	8	11	0.9628	NA	0	2.3973	NA	NA
contig_729	2538	No terminal repeats	4	11	0.9628	NA	0	1.2173	NA	NA
contig_3517	3165	No terminal repeats	3	11	0.9627	NA	0	0.5424	NA	NA
