gene	start	stop	frame	contig	score	phrog	alnScore	seqIdentity	eVal	top_hit	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	locus_tag
phage_comp_10_cycle_1_CDS_0055	20175	20348	+	phage_comp_10_cycle_1	-12.950594514656	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_10_cycle_1_CDS_0055
phage_comp_10_cycle_1_CDS_0056	20468	21052	+	phage_comp_10_cycle_1	-1267.3243740356431	172	60.0	0.301	7.991e-12	NC_018831_p10	PHANOTATE	CDS	#3e83f6	head scaffolding protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_10_cycle_1_CDS_0056
phage_comp_10_cycle_1_CDS_0057	21066	21911	+	phage_comp_10_cycle_1	-98688.31482972173	267	111.0	0.257	8.581e-28	NC_031123_p36	PHANOTATE	CDS	#3e83f6	major head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_10_cycle_1_CDS_0057
phage_comp_10_cycle_1_CDS_0058	21925	22242	+	phage_comp_10_cycle_1	-64.45969128188624	132	42.0	0.268	5.122e-07	p324820 VI_05374	PHANOTATE	CDS	#35d7ff	head-tail adaptor	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_10_cycle_1_CDS_0058
phage_comp_10_cycle_1_CDS_0059	22239	22547	+	phage_comp_10_cycle_1	-22.926765803643598	348	77.0	0.421	2.617e-19	NC_028913_p48	PHANOTATE	CDS	#3e83f6	minor head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_10_cycle_1_CDS_0059
phage_comp_10_cycle_1_CDS_0060	22588	22890	+	phage_comp_10_cycle_1	-15.178622731296862	5	44.0	0.331	1.106e-07	p213190 VI_00256	PHANOTATE	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_10_cycle_1_CDS_0060
phage_comp_10_cycle_1_CDS_0061	22887	23279	+	phage_comp_10_cycle_1	-111.48272688180354	176	65.0	0.321	9.994e-15	p121897 VI_00326	PHANOTATE	CDS	#35d7ff	tail terminator	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_10_cycle_1_CDS_0061
phage_comp_10_cycle_1_CDS_0062	23283	23789	+	phage_comp_10_cycle_1	-6356.460363899093	238	145.0	0.474	2.481e-41	NC_011614_p46	PHANOTATE	CDS	#07e9a2	major tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_10_cycle_1_CDS_0062
phage_comp_10_cycle_1_CDS_0063	23841	24263	+	phage_comp_10_cycle_1	-561.7618236575486	183	64.0	0.408	1.985e-14	p145086 VI_05474	PHANOTATE	CDS	#07e9a2	tail chaperone protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_10_cycle_1_CDS_0063
phage_comp_10_cycle_1_CDS_0064	24320	24571	+	phage_comp_10_cycle_1	-66.78013873771685	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_10_cycle_1_CDS_0064
phage_comp_10_cycle_1_CDS_0065	24572	25855	+	phage_comp_10_cycle_1	-3596409.8785084537	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_10_cycle_1_CDS_0065
phage_comp_10_cycle_1_CDS_0066	25893	27431	+	phage_comp_10_cycle_1	-21719428.34085769	1204	204.0	0.368	5.0169999999999996e-54	p387522 VI_00450	PHANOTATE	CDS	#07e9a2	tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_10_cycle_1_CDS_0066
phage_comp_10_cycle_1_CDS_0067	27368	28003	+	phage_comp_10_cycle_1	-70.03672475928167	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_10_cycle_1_CDS_0067
phage_comp_10_cycle_1_CDS_0068	27939	28688	+	phage_comp_10_cycle_1	-144.12664202463904	1686	64.0	0.421	1.601e-11	NC_024384_p40	PHANOTATE	CDS	#07e9a2	tail length tape measure protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_10_cycle_1_CDS_0068
phage_comp_10_cycle_1_CDS_0069	28690	29469	+	phage_comp_10_cycle_1	-4774.755969040805	5163	68.0	0.296	6.694e-14	p123645 VI_00487	PHANOTATE	CDS	#07e9a2	minor tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_10_cycle_1_CDS_0069
phage_comp_10_cycle_1_CDS_0070	29466	31508	+	phage_comp_10_cycle_1	-259426277400.97064	20449	151.0	0.348	1.321e-38	p210089 VI_04515	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_10_cycle_1_CDS_0070
phage_comp_10_cycle_1_CDS_0071	31510	32841	+	phage_comp_10_cycle_1	-9586796.18186436	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_10_cycle_1_CDS_0071
phage_comp_10_cycle_1_CDS_0072	32853	34091	+	phage_comp_10_cycle_1	-1742671.0944109436	19445	55.0	0.43	6.666e-09	JF731128_p38	PHANOTATE	CDS	#3e83f6	tail tip protein Tal	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_10_cycle_1_CDS_0072
phage_comp_10_cycle_1_CDS_0073	34101	34286	+	phage_comp_10_cycle_1	-94.50285974864995	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_10_cycle_1_CDS_0073
phage_comp_10_cycle_1_CDS_0074	34264	34512	+	phage_comp_10_cycle_1	-38.02093406774789	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_10_cycle_1_CDS_0074
phage_comp_10_cycle_1_CDS_0075	34460	34813	+	phage_comp_10_cycle_1	-76.91535820378475	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_10_cycle_1_CDS_0075
phage_comp_10_cycle_1_CDS_0076	34797	35060	+	phage_comp_10_cycle_1	-37.00645544932205	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_10_cycle_1_CDS_0076
phage_comp_10_cycle_1_CDS_0077	35119	35487	+	phage_comp_10_cycle_1	-210.6178381965169	4257	67.0	0.469	3.075e-15	p367173 VI_04831	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_10_cycle_1_CDS_0077
phage_comp_10_cycle_1_CDS_0078	35487	35780	+	phage_comp_10_cycle_1	-25.49622051165265	33625	44.0	1.0	2.849e-08	p315477 VI_05290	PHANOTATE	CDS	#f35f49	holin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_10_cycle_1_CDS_0078
phage_comp_10_cycle_1_CDS_0079	35797	36360	+	phage_comp_10_cycle_1	-4162.566686693285	3861	135.0	0.476	1.209e-34	p214236 VI_00869	PHANOTATE	CDS	#f35f49	amidase	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_10_cycle_1_CDS_0079
phage_comp_10_cycle_1_CDS_0080	36547	37395	+	phage_comp_10_cycle_1	-2603.996773541984	998	78.0	0.332	2.715e-17	NC_015274_p59	PHANOTATE	CDS	#f35f49	endolysin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_10_cycle_1_CDS_0080
phage_comp_10_cycle_1_CDS_0081	37407	37835	+	phage_comp_10_cycle_1	-9682.784400001343	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_10_cycle_1_CDS_0081
phage_comp_10_cycle_1_CDS_0082	37848	37976	+	phage_comp_10_cycle_1	-3.61839927535034	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_10_cycle_1_CDS_0082
phage_comp_10_cycle_1_CDS_0083	38007	38480	+	phage_comp_10_cycle_1	-700.0606660645008	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_10_cycle_1_CDS_0083
phage_comp_10_cycle_1_CDS_0084	38422	38994	+	phage_comp_10_cycle_1	-3972.9373760744256	1529	65.0	0.553	7.192e-16	p439749 VI_04529	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_10_cycle_1_CDS_0084
phage_comp_10_cycle_1_CDS_0085	38955	39260	+	phage_comp_10_cycle_1	-590.012311291538	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_10_cycle_1_CDS_0085
phage_comp_10_cycle_1_CDS_0086	39466	39365	-	phage_comp_10_cycle_1	-1.9822858274471973	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_10_cycle_1_CDS_0086
phage_comp_15_cycle_1_CDS_0001	1274	3	-	phage_comp_15_cycle_1	-633788029.7316589	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_15_cycle_1_CDS_0001
phage_comp_15_cycle_1_CDS_0002	1879	1274	-	phage_comp_15_cycle_1	-194539.00348840028	94	106.0	0.38	3.167e-27	p350580 VI_04431	PHANOTATE	CDS	#3e83f6	head maturation protease	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_15_cycle_1_CDS_0002
phage_comp_15_cycle_1_CDS_0003	2625	1924	-	phage_comp_15_cycle_1	-3314263.6180691198	7371	151.0	0.448	2.94e-43	NC_029098_p101	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_15_cycle_1_CDS_0003
phage_comp_15_cycle_1_CDS_0004	2993	2706	-	phage_comp_15_cycle_1	-1130.4079371156045	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_15_cycle_1_CDS_0004
phage_comp_15_cycle_1_CDS_0005	3151	2990	-	phage_comp_15_cycle_1	-0.6909113601880064	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_15_cycle_1_CDS_0005
phage_comp_15_cycle_1_CDS_0006	3846	3241	-	phage_comp_15_cycle_1	-191320.50204455617	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_15_cycle_1_CDS_0006
phage_comp_17_cycle_1_CDS_0001	90	1	-	phage_comp_17_cycle_1	-1.5673063236593503	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0001
phage_comp_17_cycle_1_CDS_0002	548	102	-	phage_comp_17_cycle_1	-5.845593474432039	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0002
phage_comp_17_cycle_1_CDS_0003	1213	560	-	phage_comp_17_cycle_1	-79854.58789629662	7767	65.0	0.586	5.56e-14	NC_029121_p25	PHANOTATE	CDS	#838383	metallo-endopeptidase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0003
phage_comp_17_cycle_1_CDS_0004	1181	1312	+	phage_comp_17_cycle_1	-0.9822725389680292	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0004
phage_comp_17_cycle_1_CDS_0005	1325	1564	+	phage_comp_17_cycle_1	-1.8664542535591184	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0005
phage_comp_17_cycle_1_CDS_0006	1804	1709	-	phage_comp_17_cycle_1	-0.2112982758378187	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0006
phage_comp_17_cycle_1_CDS_0007	1956	1855	-	phage_comp_17_cycle_1	-1.3976974707659715	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0007
phage_comp_17_cycle_1_CDS_0008	2079	1975	-	phage_comp_17_cycle_1	-8.065298780317624	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0008
phage_comp_17_cycle_1_CDS_0009	2297	2097	-	phage_comp_17_cycle_1	-46.80426952909661	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0009
phage_comp_17_cycle_1_CDS_0010	2345	2446	+	phage_comp_17_cycle_1	-0.0575862146901431	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0010
phage_comp_17_cycle_1_CDS_0011	2930	2502	-	phage_comp_17_cycle_1	-698.4320457288936	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0011
phage_comp_17_cycle_1_CDS_0012	3169	3014	-	phage_comp_17_cycle_1	-0.5992740470874767	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0012
phage_comp_17_cycle_1_CDS_0013	3557	3240	-	phage_comp_17_cycle_1	-657.751097130116	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0013
phage_comp_17_cycle_1_CDS_0014	3675	3505	-	phage_comp_17_cycle_1	-87.64502208576782	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0014
phage_comp_17_cycle_1_CDS_0015	3996	3784	-	phage_comp_17_cycle_1	-3.8867902476048695	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0015
phage_comp_17_cycle_1_CDS_0016	4168	4055	-	phage_comp_17_cycle_1	-0.379277522537211	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0016
phage_comp_17_cycle_1_CDS_0017	4502	4182	-	phage_comp_17_cycle_1	-1117.0329935927036	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0017
phage_comp_17_cycle_1_CDS_0018	6079	4520	-	phage_comp_17_cycle_1	-15052578618.843912	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0018
phage_comp_17_cycle_1_CDS_0019	6215	6069	-	phage_comp_17_cycle_1	-4.457545220388108	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0019
phage_comp_17_cycle_1_CDS_0020	7015	6347	-	phage_comp_17_cycle_1	-143640.58874157837	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0020
phage_comp_17_cycle_1_CDS_0021	7185	7039	-	phage_comp_17_cycle_1	-0.4142874215381543	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0021
phage_comp_17_cycle_1_CDS_0022	7306	7175	-	phage_comp_17_cycle_1	-3.363391207462213	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0022
phage_comp_17_cycle_1_CDS_0023	7622	7308	-	phage_comp_17_cycle_1	-1438.2817317497502	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0023
phage_comp_17_cycle_1_CDS_0024	7777	7664	-	phage_comp_17_cycle_1	-0.1248809826840778	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0024
phage_comp_17_cycle_1_CDS_0025	7872	7762	-	phage_comp_17_cycle_1	-24.8671061491244	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0025
phage_comp_17_cycle_1_CDS_0026	8383	7865	-	phage_comp_17_cycle_1	-63940.33593003036	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0026
phage_comp_17_cycle_1_CDS_0027	9046	8528	-	phage_comp_17_cycle_1	-343379.99994749844	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0027
phage_comp_17_cycle_1_CDS_0028	9470	9063	-	phage_comp_17_cycle_1	-8545.883324926588	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0028
phage_comp_17_cycle_1_CDS_0029	9550	9446	-	phage_comp_17_cycle_1	-2.822533507773344	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0029
phage_comp_17_cycle_1_CDS_0030	10487	9600	-	phage_comp_17_cycle_1	-3938002.6290646256	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0030
phage_comp_17_cycle_1_CDS_0031	10779	10468	-	phage_comp_17_cycle_1	-418.32963574468425	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0031
phage_comp_17_cycle_1_CDS_0032	10962	10852	-	phage_comp_17_cycle_1	-0.4634763652405988	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0032
phage_comp_17_cycle_1_CDS_0033	11511	11032	-	phage_comp_17_cycle_1	-1876.5229250241728	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0033
phage_comp_17_cycle_1_CDS_0034	12156	11515	-	phage_comp_17_cycle_1	-20011.040694378986	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0034
phage_comp_17_cycle_1_CDS_0035	12776	12219	-	phage_comp_17_cycle_1	-5641.711655359552	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0035
phage_comp_17_cycle_1_CDS_0036	13889	12789	-	phage_comp_17_cycle_1	-31182760420.416046	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0036
phage_comp_17_cycle_1_CDS_0037	14233	13928	-	phage_comp_17_cycle_1	-541.6727925791665	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0037
phage_comp_17_cycle_1_CDS_0038	14600	14217	-	phage_comp_17_cycle_1	-6992.164248387001	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0038
phage_comp_17_cycle_1_CDS_0039	14712	14819	+	phage_comp_17_cycle_1	-0.0606152940150335	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0039
phage_comp_17_cycle_1_CDS_0040	14876	14965	+	phage_comp_17_cycle_1	-0.989717391774082	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0040
phage_comp_17_cycle_1_CDS_0041	14946	15194	+	phage_comp_17_cycle_1	-118.52532521532312	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0041
phage_comp_17_cycle_1_CDS_0042	15249	15488	+	phage_comp_17_cycle_1	-199.8298219612934	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	phage_comp_17_cycle_1_CDS_0042
